,Confidence,QualityBrightness,QualitySharpness,deltat,dur,fa,fps,hits,n0,n1,proponeface,score,dprime,spind
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_1230_child0_9g8QjH_scientific.pickle,99.47657633508207,49.17867160968802,99.22820319668783,167,163.583333,0.014138817480719794,12.000000024452367,0.16371308016877636,778,1185,0.4640855832908813,0.3743139407244786,1.2141016643030245,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_1233_child0_Ql4VgN_scientific.pickle,99.92836362286927,27.818749224465854,97.61556234076895,167,165.833333,0.5615763546798029,12.000000024120602,0.9002525252525253,406,1584,0.8979899497487437,0.87241186345831,1.1280247444325722,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_1291_child0_Gg4nmB_scientific.pickle,99.66021176551314,37.42982858784041,99.14289716894409,167,165.166667,0.18717948717948718,11.999999975782039,0.8161397670549085,780,1202,0.8082744702320888,0.8433208489388264,1.7890894709796434,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_1359_child0_VkLbvL_scientific.pickle,99.68005658419627,41.36898655153671,97.41057070174307,167,163.25,0.3231939163498099,12.0,0.6405733186328556,1052,907,0.6763654925982644,0.68,0.8187776933219756,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_1451_child0_WWmTzy_scientific.pickle,99.91019908987361,53.36278466698077,96.70910210460782,167,167.5,0.13636363636363635,12.0,0.7982456140350878,528,1482,0.8298507462686567,0.8567146282973621,1.9321747056656249,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_1598_child0_DqXyHb_scientific.pickle,99.63530209156336,41.476023689985674,93.01677522387736,167,164.333333,0.19672131147540983,12.00000002434077,0.6963103122043519,915,1057,0.6054766734279919,0.7713567839195979,1.3672086065993894,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_1774_child0_VYZHWH_scientific.pickle,99.96108975351248,33.381436689537985,97.37996991243216,200,163.6,0.2301341589267286,30.0,0.7565371921807565,969,3939,0.83679706601467,0.7901144387630874,1.4336120504640455,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_1808_child0_60pz9v_scientific.pickle,99.75073449755632,34.38586119681538,99.71085945185084,200,163.4,0.41229193341869397,30.0,0.4780652418447694,3124,1778,0.6148510811913505,0.43264764432647645,0.16664318067893696,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_1819_child0_VptYqb_scientific.pickle,99.2883946003045,16.80062170439555,99.0557785707902,200,162.9,0.03198494825964252,30.0,0.6719811813904861,1063,3826,0.764368991613827,0.8027829810008028,2.297780023542919,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_1824_child0_tLbXMy_scientific.pickle,99.66547486572266,55.62770202026367,99.92574044189453,200,165.2,0.2125984251968504,5.0,0.8292134831460675,381,445,0.7566585956416465,0.8624,1.7484994795798456,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_1840_child0_6Qmq8G_scientific.pickle,99.91445419089973,53.408737515820754,99.67451276776977,200,164.9,0.3640526617057813,30.0,0.8454091193004373,1747,3202,0.8767427763184482,0.8135515095644158,1.3645874199287904,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_2049_child0_xQy8hp_scientific.pickle,99.81452905091048,44.29298195202806,99.83282188814503,200,171.466667,0.3397155361050328,29.999999941679626,0.8444846292947559,1828,3318,0.9104158569762922,0.7820704375667022,1.426301201273098,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_2051_child0_4qPMNQ_scientific.pickle,99.58805468030202,37.69766792204085,99.93212318517575,200,162.2,0.16541353383458646,30.000000000000004,0.8622613803230543,1463,3405,0.8064913722267871,0.9075394803871625,2.0629850095810824,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_2106_child0_plpYyg_scientific.pickle,99.82271073690227,41.08313103083982,99.92614785404396,200,164.733333,0.22740963855421686,30.00000006070417,0.6050884955752213,1328,3616,0.7890372168284789,0.7398103050499872,1.0139452061301397,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_2187_child0_1NHW9N_scientific.pickle,99.46362730231418,34.383067765558856,97.6821356440287,160,168.16,0.25084745762711863,6.25,0.6349206349206349,295,756,0.7164605137963844,0.7941567065073041,1.0167397003800471,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_2315_child0_hr1GGw_scientific.pickle,99.90455155795904,57.761075235453816,99.872867928468,200,167.366667,0.20597652081109924,29.999999940250945,0.9056843442362654,1874,3149,0.8118654190722676,0.8536047081902893,2.135100383097566,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_2318_child0_KjRXgX_scientific.pickle,99.84152509781556,33.20152251306571,99.76025437308928,200,494.433333,0.8388476896748431,30.000000020225173,0.9286541579800788,10518,4317,0.9451971688574318,0.3553701326486949,0.4761076815956655,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_2379_child0_QTdTHH_scientific.pickle,99.79582512418385,40.0622445130851,99.85980931662031,200,165.133333,0.3931144915932746,30.000000060557127,0.7990288643107635,1249,3707,0.908999192897498,0.7493895671476137,1.1093681676965836,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_2406_child0_xXXqZB_scientific.pickle,99.3518968011915,56.83168318758306,99.99688886819426,200,165.066667,0.4792746113989637,29.99999993941842,0.9454903677758318,386,4568,0.9790068631408962,0.9144329896907216,1.6545911165161522,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_2478_child0_T7GPd8_scientific.pickle,99.99939840562779,29.43693485451703,99.97495544695575,200,164.833333,0.2894736842105263,30.00000006066734,0.9511102057445509,38,4909,0.9654335961188599,0.9830402010050251,2.2106377436260014,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_2512_child0_3lLHgw_scientific.pickle,99.87575154737593,43.025119491446674,99.81761557515345,200,161.133333,0.1368507831821929,30.00000006206041,0.9337565553408778,1213,3623,0.8947477253928867,0.9147215160619366,2.598945008626253,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_2516_child0_G2kP6K_scientific.pickle,94.86304066975912,64.75410079956055,99.814963277181,200,164.133333,0.00038226299694189603,30.000000060926077,0.02155887230514096,1308,3618,0.018270401948842874,0.8666666666666667,1.3427607949223708,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_2526_child0_hqTRY2_scientific.pickle,99.73526755630124,52.21405397700387,99.9286508536279,200,165.5,0.3624733475479744,30.0,0.9357160585753289,938,4029,0.9639621501912623,0.8922305764411027,1.8716290320207247,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_3096_child0_GPKwGY_scientific.pickle,99.74831888490904,39.36178515944454,99.04519604104227,200,165.966667,0.22261328640563133,29.99999993974694,0.6883308714918759,2273,2708,0.8496285886368199,0.7136105860113422,1.2545218544797585,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_539_child2_LLLzBq_scientific.pickle,98.90235036424369,30.998826302772713,98.18234126429913,167,163.583333,0.16954022988505746,12.000000024452367,0.6850828729281768,696,1267,0.6164034640855833,0.7867768595041322,1.4379438711042574,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_896_child0_pYY_scientific.pickle,99.35509463492522,46.27208464737854,99.64964961565322,167,163.916667,0.21263482280431434,11.999999975597357,0.5030349013657056,649,1318,0.5505846466700559,0.6823638042474608,0.804919799746089,1
coding/raw/39RP059MEHSGGRKB8SCI0QI6QCJMBC.pickle,99.3813781015527,40.976030827472044,96.95349058358676,266,588.533333,0.061667301103920824,7.500000004247848,0.5562395075545608,2627,1787,0.5978704123244223,0.7218643425539977,1.6823685370410002,2
coding/raw/3C6FJU71TQSV67IVRMHOZBX1O1BUYM.pickle,98.38857223459823,62.869393286105655,96.87610344892084,200,588.3,0.009870129870129871,10.0,0.20161697827185449,1925,3958,0.3056263810980792,0.6729699666295884,1.4953890203097786,2
coding/raw/3CFJTT4SXTP7IWRUAW2A3VPTQH8I7E.pickle,99.28414565584534,50.06199380500356,96.28499350472478,208,715.541667,0.038461538461538464,23.99999998881966,0.7364656009891372,5850,11323,0.7041868048681069,0.8275862068965517,2.40131188928817,2
coding/raw/3EQHHY4HQSREZ17GWFNAKZYHKJ0G5Q.pickle,98.53317583708817,35.37688715675919,94.85662369850354,133,768.133333,0.04564016334374249,7.500000003254644,0.5050062578222778,4163,1598,0.35879187641034543,0.8369617803580067,1.7012314708953002,2
coding/raw/3F6KKYWMNB0FD63VYPIO8VV6YMLNDY.pickle,99.14607463446879,28.18481006250042,97.04944565923014,134,615.6,0.05889803673210893,7.5,0.315668202764977,1579,3038,0.3773012778860732,0.7422502870264064,1.0842448388258321,2
coding/raw/3GNA64GUZE35CQ1UZBSMED2JR1XQ5A.pickle,99.89661715324448,49.70517926601993,99.63106230300049,208,652.416667,0.4820846905537459,23.999999987737898,0.918424317617866,9210,6448,0.8697151615787457,0.6514172418857395,1.4394728446113245,2
coding/raw/3JWH6J9I9SCMY95BKTRID576VXANBK.pickle,99.7793418211937,39.56883869361877,96.87308802318573,208,715.583333,0.3030674846625767,24.00000001117969,0.9494617909764104,4075,13099,0.93164085245138,0.903875,2.1552557555923633,2
coding/raw/3KIBXJ1WD5T59X9HRL4ORXQ180OOKI.pickle,99.8750691535295,55.34175389557207,95.99675160262203,200,615.281333,0.16100573445081606,14.98501499313323,0.754782108442399,2267,6953,0.8732104121475054,0.7890945224195752,1.6799486942956028,2
coding/raw/3LOZAJ85YDCXMQJJ36LGAEV02852XK.pickle,99.82034460796677,36.0195491203158,99.81118688241398,208,615.0,0.3969776924922044,24.0,0.956755736002266,4169,10591,0.9711382113821139,0.8654946281568299,1.9753967324226493,2
coding/raw/3M68NM076H617VG8H9RRB9QOHX2R6C.pickle,97.30322523834676,43.43234804547641,95.18405758965206,208,715.708333,0.017591623036649216,24.000000011177736,0.23692146322276125,9550,7627,0.17098445595854922,0.7521280217909432,1.3900026510149326,2
coding/raw/3NGMS9VZTLH0NY4AR7U1OQPI8ZLFFI.pickle,99.41265999848616,48.69149244108779,99.86407584626211,200,615.133333,0.08966910836069715,15.00000000812832,0.8061883067577829,3959,5268,0.6945919583830064,0.854579497581526,2.20673083733425,2
coding/raw/3S0TNUHWKTHUAZGRSNT5QY5B9N78D8.pickle,99.77708872275016,46.86373977351429,99.28575808007844,208,638.458333,0.08165849026744738,24.000000012530183,0.8705019991115059,6319,9004,0.6993408601448803,0.8756065696155282,2.5227693872950376,2
coding/raw/3VFJCI1K4ZY34O5ETM0DN03DC74GRV.pickle,98.83623266245475,35.916076322466395,99.71009558620105,200,616.1,0.032628334573280904,30.0,0.5213797663654397,9409,9074,0.5081967213114754,0.886404769509209,1.8971125037977354,2
coding/raw/3WQ3B2KGE8FJK2YMF6TKGYU3SWLB1G.pickle,98.45889475433152,24.207761594080257,96.26749669398396,133,716.8,0.05347985347985348,7.500000000000001,0.24831712789827973,1365,4011,0.3444940476190476,0.6652267818574514,0.9322152333770759,2
