,Confidence,QualityBrightness,QualitySharpness,deltat,dur,fa,fps,hits,n0,n1,proponeface,score,dprime,spind
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_2187_child0_1NHW9N_scientific.pickle,99.46362730231418,34.383067765558856,97.6821356440287,160,168.16,0.2305084745762712,6.25,0.6283068783068783,295,756,0.7164605137963844,0.795484727755644,1.064545725407193,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_2315_child0_hr1GGw_scientific.pickle,99.90455155795904,57.761075235453816,99.872867928468,200,167.366667,0.2001067235859125,29.999999940250945,0.9129882502381709,1874,3149,0.8118654190722676,0.86194212849436,2.20062863065456,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_2318_child0_KjRXgX_scientific.pickle,99.84152509781556,33.20152251306571,99.76025437308928,200,494.433333,0.8405590416428979,30.000000020225173,0.9281908732916377,10518,4317,0.9451971688574318,0.3539438025959207,0.46569069289149934,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_2379_child0_QTdTHH_scientific.pickle,99.79582512418385,40.0622445130851,99.85980931662031,200,165.133333,0.2409927942353883,30.000000060557127,0.7353655246830321,1249,3707,0.908999192897498,0.7391786903440621,1.3322349506729703,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_2406_child0_xXXqZB_scientific.pickle,99.3518968011915,56.83168318758306,99.99688886819426,200,165.066667,0.4637305699481865,29.99999993941842,0.9319176882661997,386,4568,0.9790068631408962,0.9028865979381443,1.5812663379078462,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_2478_child0_T7GPd8_scientific.pickle,99.99939840562779,29.43693485451703,99.97495544695575,200,164.833333,0.2894736842105263,30.00000006066734,0.9437767366062334,38,4909,0.9654335961188599,0.9755025125628141,2.1422149404608266,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_2512_child0_3lLHgw_scientific.pickle,99.87575154737593,43.025119491446674,99.81761557515345,200,161.133333,0.12118713932399011,30.00000006206041,0.9263041678167264,1213,3623,0.8947477253928867,0.9128726600415993,2.617879227094051,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_2516_child0_G2kP6K_scientific.pickle,94.86304066975912,64.75410079956055,99.814963277181,200,164.133333,0.00038226299694189603,30.000000060926077,0.024875621890547265,1308,3618,0.018270401948842874,1.0,1.403231865999858,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_2526_child0_hqTRY2_scientific.pickle,99.73526755630124,52.21405397700387,99.9286508536279,200,165.5,0.21108742004264391,30.0,0.9312484487465872,938,4029,0.9639621501912623,0.9181286549707602,2.2878075819070216,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_3096_child0_GPKwGY_scientific.pickle,99.74831888490904,39.36178515944454,99.04519604104227,200,165.966667,0.24153101627804663,29.99999993974694,0.7536927621861153,2273,2708,0.8496285886368199,0.745274102079395,1.3875426190762956,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_539_child2_LLLzBq_scientific.pickle,98.90235036424369,30.998826302772713,98.18234126429913,167,163.583333,0.14080459770114942,12.000000024452367,0.6827150749802684,696,1267,0.6164034640855833,0.8008264462809918,1.5520160933831395,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_896_child0_pYY_scientific.pickle,99.35509463492522,46.27208464737854,99.64964961565322,167,163.916667,0.17565485362095531,11.999999975597357,0.5098634294385432,649,1318,0.5505846466700559,0.7128347183748845,0.9567783647511212,1
coding/raw/39RP059MEHSGGRKB8SCI0QI6QCJMBC.pickle,99.3813781015527,40.976030827472044,96.95349058358676,266,588.533333,0.06585458698134755,7.500000004247848,0.6071628427532176,2627,1787,0.5978704123244223,0.7521788556271315,1.7793280255561266,2
coding/raw/3C6FJU71TQSV67IVRMHOZBX1O1BUYM.pickle,98.38857223459823,62.869393286105655,96.87610344892084,200,588.3,0.012987012987012988,10.0,0.2289034866093987,1925,3958,0.3056263810980792,0.7296996662958843,1.4841370799445426,2
coding/raw/3CFJTT4SXTP7IWRUAW2A3VPTQH8I7E.pickle,99.28414565584534,50.06199380500356,96.28499350472478,208,715.541667,0.044444444444444446,23.99999998881966,0.7424710765698137,5850,11323,0.7041868048681069,0.8303150582981891,2.352270568905513,2
coding/raw/3EQHHY4HQSREZ17GWFNAKZYHKJ0G5Q.pickle,98.53317583708817,35.37688715675919,94.85662369850354,133,768.133333,0.06533749699735768,7.500000003254644,0.5043804755944932,4163,1598,0.35879187641034543,0.7968069666182874,1.5224259063182493,2
coding/raw/3F6KKYWMNB0FD63VYPIO8VV6YMLNDY.pickle,99.14607463446879,28.18481006250042,97.04944565923014,134,615.6,0.056998100063331225,7.5,0.3317972350230415,1579,3038,0.3773012778860732,0.7721010332950632,1.1455275676652434,2
coding/raw/3GNA64GUZE35CQ1UZBSMED2JR1XQ5A.pickle,99.89661715324448,49.70517926601993,99.63106230300049,208,652.416667,0.48534201954397393,23.999999987737898,0.9002791563275434,9210,6448,0.8697151615787457,0.6406227052430606,1.3198942181926192,2
coding/raw/3JWH6J9I9SCMY95BKTRID576VXANBK.pickle,99.7793418211937,39.56883869361877,96.87308802318573,208,715.583333,0.3008588957055215,24.00000001117969,0.9417512787235667,4075,13099,0.93164085245138,0.898125,2.091578041797863,2
coding/raw/3KIBXJ1WD5T59X9HRL4ORXQ180OOKI.pickle,99.8750691535295,55.34175389557207,95.99675160262203,200,615.281333,0.1729157476841641,14.98501499313323,0.7779375809003308,2267,6953,0.8732104121475054,0.8057384175878772,1.7079520190016817,2
coding/raw/3LOZAJ85YDCXMQJJ36LGAEV02852XK.pickle,99.82034460796677,36.0195491203158,99.81118688241398,208,615.0,0.39218037898776686,24.0,0.9539231422906241,4169,10591,0.9711382113821139,0.864796986186689,1.9577853525416455,2
coding/raw/3M68NM076H617VG8H9RRB9QOHX2R6C.pickle,97.30322523834676,43.43234804547641,95.18405758965206,208,715.708333,0.018115183246073297,24.000000011177736,0.23561033171627113,9550,7627,0.17098445595854922,0.7470207694926796,1.3738381797604258,2
coding/raw/3NGMS9VZTLH0NY4AR7U1OQPI8ZLFFI.pickle,99.41265999848616,48.69149244108779,99.86407584626211,200,615.133333,0.09497347815104824,15.00000000812832,0.8027714502657555,3959,5268,0.6945919583830064,0.8484943048837572,2.162298294798331,2
coding/raw/3S0TNUHWKTHUAZGRSNT5QY5B9N78D8.pickle,99.77708872275016,46.86373977351429,99.28575808007844,208,638.458333,0.09843329640765944,24.000000012530183,0.8591737005775211,6319,9004,0.6993408601448803,0.8561963419186264,2.367144648146626,2
coding/raw/3VFJCI1K4ZY34O5ETM0DN03DC74GRV.pickle,98.83623266245475,35.916076322466395,99.71009558620105,200,616.1,0.05728557763843129,30.0,0.5209389464403791,9409,9074,0.5081967213114754,0.8612796763547322,1.630486138348898,2
coding/raw/3WQ3B2KGE8FJK2YMF6TKGYU3SWLB1G.pickle,98.45889475433152,24.207761594080257,96.26749669398396,133,716.8,0.05860805860805861,7.500000000000001,0.26601844926452256,1365,4011,0.3444940476190476,0.6997840172786177,0.9416665410548212,2
