,Confidence,QualityBrightness,QualitySharpness,deltat,dur,fa,fps,hits,n0,n1,proponeface,score,dprime,spind
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_427_child0_9Kknjp_free.pickle,99.99772571214936,36.71950306598999,99.59747669818827,167,160.5,0.5476190476190477,12.0,0.563953488372093,252,172,0.9029075804776739,0.3559516963772283,0.04135236611215441,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_430_child0_XAG_free.pickle,99.56765902352599,15.792482939794604,97.14621413418794,167,170.083333,0.37424547283702214,12.000000023517883,0.3470483005366726,497,559,0.5271925526702597,0.4200743494423792,-0.07267197542705067,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_502_child0_cNh_free.pickle,97.63351228183373,38.188957587220614,99.71463488815422,167,159.333333,0.05029013539651837,12.000000025104601,0.005997001499250375,517,667,0.06956066945606694,0.09022556390977443,-0.8702737517493548,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_513_child2_5qE_free.pickle,99.90205559169915,37.32410329367715,99.71202154424105,167,166.25,0.2777777777777778,12.0,0.4444444444444444,90,315,0.7588972431077694,0.36591809775429324,0.44974549896791616,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_791_child0_0L8Z9k_free.pickle,99.93409816652303,48.97256651746386,99.9080667371227,167,151.083333,0.2946708463949843,12.000000026475455,0.5228519195612431,319,547,0.8450082735797021,0.5313315926892951,0.5971028769311777,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_808_child0_g21_free.pickle,98.54173289878028,26.824471658893994,99.94374993869236,167,155.0,0.21768707482993196,12.0,0.24623115577889448,294,597,0.4817204301075269,0.3091517857142857,0.09363064753152539,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_88_child0_session1_free.pickle,99.97043129160434,55.69285665101643,99.94782895438279,167,168.416667,0.44569288389513106,11.999999976249383,0.49676025917926564,267,463,0.781404549950544,0.3639240506329114,0.12843001157489772,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_94_child0_session1_free.pickle,99.84268673983487,27.08050989470662,98.41758188260656,167,156.166667,0.30745341614906835,11.99999997438634,0.7132530120481928,322,415,0.8628601921024547,0.6617192331478046,1.0659949226612644,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_957_child1_zWbLpJ_free.pickle,99.86091258244883,18.82191614671187,99.89999229867851,167,152.0,0.13592233009708737,12.0,0.40716612377850164,206,307,0.8141447368421053,0.4148148148148148,0.8639835492568595,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_979_child0_MaU_free.pickle,99.48634344257721,17.884536396150718,99.46620222640364,167,151.25,0.3526315789473684,12.0,0.41986062717770034,190,574,0.6435261707988981,0.4152397260273973,0.17597535929896327,0
